sui_category_5,STATES,total_hucs,n_cat_sui,prop_cat_sui,d3_percentage,d3_category
Low,MO,2000,1483,0.7415,0.7415,Low
Low,MS,1458,573,0.39300411522633744,0.39300411522633744,Low
Low,MT,4420,1338,0.3027149321266968,0.3027149321266968,Low
Low,MX,273,204,0.7472527472527473,0.7472527472527473,Low
Low,NC,1762,256,0.1452894438138479,0.1452894438138479,Low
Low,ND,1935,1273,0.6578811369509044,0.6578811369509044,Low
Low,NE,2105,665,0.3159144893111639,0.3159144893111639,Low
Low,NH,335,2,0.005970149253731343,0.005970149253731343,Low
Low,NJ,272,17,0.0625,0.0625,Low
Low,NM,3225,1751,0.5429457364341085,0.5429457364341085,Low
Low,NV,2564,957,0.37324492979719187,0.37324492979719187,Low
Low,NY,1673,56,0.03347280334728033,0.03347280334728033,Low
Low,OH,1538,412,0.26788036410923277,0.26788036410923277,Low
Low,OK,2079,1268,0.60990860990861,0.60990860990861,Low
Low,OR,3119,515,0.1651170246873998,0.1651170246873998,Low
Low,PA,1451,28,0.019297036526533425,0.019297036526533425,Low
Low,RI,58,1,0.017241379310344827,0.017241379310344827,Low
Low,SC,948,305,0.3217299578059072,0.3217299578059072,Low
Low,SD,2411,1852,0.7681459975114061,0.7681459975114061,Low
Low,TN,1153,268,0.23243712055507373,0.23243712055507373,Low
Low,TX,6345,3607,0.5684791174152877,0.5684791174152877,Low
Low,UT,2557,767,0.2999608916699257,0.2999608916699257,Low
Low,VA,1285,253,0.19688715953307392,0.19688715953307392,Low
Low,VT,268,3,0.011194029850746268,0.011194029850746268,Low
Low,WA,2017,137,0.06792265741199802,0.06792265741199802,Low
Low,WI,1803,326,0.1808097615085968,0.1808097615085968,Low
Low,WV,785,58,0.07388535031847134,0.07388535031847134,Low
Low,WY,2385,540,0.22641509433962265,0.22641509433962265,Low
Moderate,AL,1484,3,0.0020215633423180594,0.0020215633423180594,Moderate
Moderate,AR,1556,315,0.20244215938303342,0.20244215938303342,Moderate
Moderate,AZ,3299,146,0.044255835101545925,0.044255835101545925,Moderate
Moderate,CA,4413,432,0.09789259007477906,0.09789259007477906,Moderate
Moderate,CN,467,1,0.0021413276231263384,0.0021413276231263384,Moderate
Moderate,CO,3158,476,0.15072830905636478,0.15072830905636478,Moderate
Moderate,FL,1355,69,0.05092250922509225,0.05092250922509225,Moderate
Moderate,GA,1851,120,0.06482982171799027,0.06482982171799027,Moderate
Moderate,IA,1713,9,0.005253940455341506,0.005253940455341506,Moderate
Moderate,ID,2669,248,0.09291869614087674,0.09291869614087674,Moderate
Moderate,IL,1878,33,0.01757188498402556,0.01757188498402556,Moderate
Moderate,IN,1589,6,0.003775959723096287,0.003775959723096287,Moderate
Moderate,KS,2057,488,0.23723869713174525,0.23723869713174525,Moderate
Moderate,KY,1304,3,0.0023006134969325155,0.0023006134969325155,Moderate
Moderate,LA,1261,90,0.07137192704203013,0.07137192704203013,Moderate
Moderate,MD,404,1,0.0024752475247524753,0.0024752475247524753,Moderate
Moderate,MI,1843,11,0.005968529571351058,0.005968529571351058,Moderate
Moderate,MN,2482,17,0.00684931506849315,0.00684931506849315,Moderate
Moderate,MO,2000,130,0.065,0.065,Moderate
Moderate,MS,1458,149,0.10219478737997256,0.10219478737997256,Moderate
Moderate,MT,4420,292,0.0660633484162896,0.0660633484162896,Moderate
Moderate,MX,273,9,0.03296703296703297,0.03296703296703297,Moderate
Moderate,NC,1762,2,0.0011350737797956867,0.0011350737797956867,Moderate
Moderate,ND,1935,95,0.04909560723514212,0.04909560723514212,Moderate
Moderate,NE,2105,1194,0.5672209026128266,0.5672209026128266,Moderate
Moderate,NM,3225,213,0.06604651162790698,0.06604651162790698,Moderate
Moderate,NV,2564,140,0.054602184087363496,0.054602184087363496,Moderate
Moderate,NY,1673,6,0.0035863717872086074,0.0035863717872086074,Moderate
Moderate,OH,1538,1,6.501950585175553e-4,6.501950585175553e-4,Moderate
Moderate,OK,2079,319,0.15343915343915343,0.15343915343915343,Moderate
Moderate,OR,3119,160,0.051298493106764986,0.051298493106764986,Moderate
Moderate,SC,948,13,0.013713080168776372,0.013713080168776372,Moderate
Moderate,SD,2411,179,0.0742430526752385,0.0742430526752385,Moderate
Moderate,TN,1153,4,0.003469210754553339,0.003469210754553339,Moderate
