"This table was generated by identifying all the sources of total nitrogen, total phospohorous, and suspended sediment in the 2012 regional SPARROW models and manually assigning them to generalized source categories based on interpreation of the reports assoicated with each model (Ator, S.W., 2019, Spatially referenced models of streamflow and nitrogen, phosphorus, and suspended-sediment loads in streams of the Northeastern United States: U.S. Geological Survey Scientific Investigations Report 20195118, 57 p., https://doi.org/10.3133/sir20195118.

Hoos, A.B., and Roland, V.L. II, 2019, Spatially referenced models of streamflow and nitrogen, phosphorus, and suspended-sediment loads in the Southeastern United States: U.S. Geological Survey Scientific Investigations Report 2019–5135, 87 p., https://doi.org/10.3133/sir20195135.
SE,tp,il_tp_fert,"Incremental total phosphorus load from farm fertilizer, kg/yr",Fertilizer and manure
SE,tp,il_tp_man,"Incremental total phosphorus load from manure, kg/yr",Fertilizer and manure
SE,tp,il_tp_geo,"Incremental total phosphorus load natural sources, kg/yr",Geologic sources
SE,tp,il_tp_mining_fac,"Incremental total phosphorus load from permitted mining facility discharge, kg/yr",Mining
SE,tp,il_tp_mines,"Incremental total phosphorus load from mined areas, kg/yr",Mining
SE,tp,il_tp_urb,"Incremental total phosphorus load from urban land, kg/yr",Developed
SE,tp,il_tp_wwtp,"Incremental total phosphorus load from wastewater treatment plants, kg/yr",Wastewater
SW,ss,il_ss_agageo,"Incremental suspended-sediment load from agricultural land on any type of geology except alluvium, MT/yr",Agricultural lands
SW,ss,il_ss,"Incremental total suspended-sediment load from all sources, MT/yr",All sources
SW,ss,il_ss_forageo,"Incremental suspended-sediment load from forest land on any type of geology except alluvium, MT/yr",Forests
SW,ss,il_ss_allu,"Incremental suspended-sediment load from all land cover types on alluvium, MT/yr",Geologic sources
SW,ss,il_ss_bruageo,"Incremental suspended-sediment load from brush land on any type of geology except alluvium, MT/yr",Shrub lands
SW,ss,il_ss_per,"Incremental suspended-sediment load from perennial streams, MT/yr",Stream channel
SW,ss,il_ss_devageo,"Incremental suspended-sediment load from developed land on any type of geology except alluvium, MT/yr",Developed
SW,tn,il_tn,"Incremental total nitrogen load from all sources, kg/yr",All sources
SW,tn,il_tn_atm,"Incremental total nitrogen load from atmospheric deposition, kg/yr",Atmospheric deposition
SW,tn,il_tn_fert,"Incremental total nitrogen load from farm fertilizer, kg/yr",Fertilizer and manure
SW,tn,il_tn_man,"Incremental total nitrogen load from manure, kg/yr",Fertilizer and manure
SW,tn,il_tn_tra,"Incremental total nitrogen from inter-basin transfer discharge, kg/yr. Coefficient is mg/L",Imports
SW,tn,il_tn_dev,"Incremental total nitrogen load from developed land, kg/yr",Developed
SW,tn,il_tn_wwtp_major,"Incremental total nitrogen load from major NPDES wastewater treatment point-source discharge, kg/yr",Wastewater
SW,tp,il_tp,"Incremental total phosphorous load from all sources, kg/yr",All sources
SW,tp,il_tp_fert,"Incremental total phosphorus load from farm fertilizer, kg/yr",Fertilizer and manure
SW,tp,il_tp_man,"Incremental total phosphorus load from manure, kg/yr",Fertilizer and manure
SW,tp,il_tp_geo,"Incremental total phosphorus load natural sources, kg/yr",Geologic sources
SW,tp,il_tp_tra,"Incremental total phosphorus from inter-basin transfer discharge, kg/yr. Coefficient is mg/L",Imports
SW,tp,il_tp_cha1,"Incremental total phosphorus load from perennial streams, kg/yr",Stream channel
SW,tp,il_tp_dev,"Incremental total phosphorus load from developed land, kg/yr",Developed
SW,tp,il_tp_wwtp,"Incremental total phosphorus load from wastewater treatment plants, kg/yr",Wastewater
